y_win,p_ioc,p_hand,o_ioc,o_hand,p_ht,p_age,p_rank,o_ht,o_age,o_rank,p_set_1,o_set_1,p_ace,p_df,p_svpt,p_1stWon,p_2ndWon,p_bpFaced,o_ace,o_df,o_svpt,o_1stWon,o_2ndWon,o_bpFaced
W,USA,R,ITA,R,175,34,1,168,24,36,6,4,5,1,28,13,9,1,4,6,42,12,11,5
W,TPE,R,LAT,R,169,30,90,178,19,81,3,6,1,1,35,12,7,4,2,5,30,8,7,4
W,CRO,R,POL,R,175,18,87,177,25,108,0,6,0,1,30,10,4,6,1,1,24,10,3,3
W,RUS,R,SVK,R,170,19,69,175,21,29,6,3,2,3,36,15,6,4,2,5,28,9,5,4
W,RUS,R,ITA,R,183,21,58,164,29,19,1,6,1,1,31,12,6,3,0,1,26,14,1,5
W,JPN,R,FRA,R,155,24,94,183,19,147,7,6,2,2,40,20,5,5,1,3,34,11,7,5
W,CHN,L,COL,R,173,26,162,170,26,77,6,2,1,0,15,9,3,0,1,2,17,4,5,4
W,KAZ,R,DEN,R,163,21,76,177,26,18,1,6,1,1,39,18,4,6,0,1,31,14,6,3
W,SUI,R,USA,R,175,19,13,175,26,88,6,4,3,1,26,15,5,1,2,2,28,13,5,3
W,HUN,R,GBR,R,179,23,60,170,24,79,6,7,3,1,39,19,6,4,3,0,37,15,7,5
W,UKR,R,CRO,R,175,29,92,180,23,67,7,6,1,3,37,15,6,6,2,2,44,13,8,8
W,RUS,R,SVK,R,174,31,20,181,33,89,6,0,5,0,17,11,4,0,0,4,29,9,4,6
W,USA,R,RUS,R,157,22,103,177,25,28,1,6,0,2,29,8,9,2,1,2,31,14,4,3
W,SVK,R,BEL,R,180,27,75,182,26,41,3,6,4,2,40,14,8,4,2,3,30,12,5,4
W,BLR,R,RUS,R,175,22,105,170,27,91,6,3,4,3,38,15,8,5,1,4,36,14,4,4
W,RUS,R,JPN,R,188,29,5,163,21,56,6,1,6,1,23,12,4,1,1,1,30,9,5,8
W,POL,R,USA,R,170,27,4,170,24,65,6,2,2,1,29,11,4,3,1,1,28,7,4,6
W,CAN,R,SRB,R,178,22,37,163,23,119,6,3,1,2,25,12,7,1,1,2,30,10,8,3
W,PUR,R,POL,R,170,22,52,170,24,93,6,3,2,1,24,11,6,2,0,2,20,6,2,3
W,CZE,L,AUS,R,183,24,114,172,32,27,6,4,5,3,45,20,6,6,2,1,37,13,8,3
W,CHN,R,USA,R,173,24,102,170,23,26,6,3,0,3,35,13,7,7,1,0,35,13,4,6
W,GER,R,ESP,R,175,22,82,163,35,100,7,6,2,2,32,11,7,3,1,1,35,12,7,4
W,USA,R,GEO,R,163,26,74,171,26,101,6,4,1,1,37,10,8,5,1,3,45,15,9,7
W,ITA,R,AUT,R,163,33,15,165,25,126,6,4,2,1,26,14,4,3,1,3,29,11,4,3
